Deployment,datetime,C_DPM,C_DPH,Match,F_DPM,F_DPH,Filter 
5,09/11/2021 17:59,3,1,0,0,0,HM
5,09/11/2021 18:59,15,1,1,2,1,HM
5,09/11/2021 19:59,16,1,1,46,1,HM
5,09/11/2021 20:59,0,0,0,47,1,HM
5,09/11/2021 21:59,7,1,0,0,0,HM
5,09/11/2021 22:59,0,0,0,10,1,HM
5,09/11/2021 23:59,0,0,1,0,0,HM
5,10/11/2021 00:59,0,0,1,0,0,HM
5,10/11/2021 01:59,0,0,1,0,0,HM
5,10/11/2021 02:59,2,1,1,1,1,HM
5,10/11/2021 03:59,0,0,0,8,1,HM
5,10/11/2021 04:59,0,0,1,0,0,HM
5,10/11/2021 05:59,12,1,1,1,1,HM
5,10/11/2021 06:59,7,1,1,33,1,HM
5,10/11/2021 07:59,0,0,0,27,1,HM
5,10/11/2021 08:59,1,1,0,0,0,HM
5,10/11/2021 09:59,0,0,0,4,1,HM
5,10/11/2021 10:59,1,1,1,3,1,HM
5,10/11/2021 11:59,3,1,0,0,0,HM
5,10/11/2021 12:59,7,1,1,3,1,HM
5,10/11/2021 13:59,2,1,1,8,1,HM
5,10/11/2021 14:59,0,0,0,4,1,HM
5,10/11/2021 15:59,0,0,1,0,0,HM
5,10/11/2021 16:59,0,0,1,0,0,HM
5,10/11/2021 17:59,0,0,1,0,0,HM
5,10/11/2021 18:59,1,1,0,0,0,HM
5,10/11/2021 19:59,3,1,1,2,1,HM
5,10/11/2021 20:59,21,1,1,8,1,HM
5,10/11/2021 21:59,0,0,0,25,1,HM
5,10/11/2021 22:59,1,1,1,1,1,HM
5,10/11/2021 23:59,0,0,0,1,1,HM
5,11/11/2021 00:59,0,0,1,0,0,HM
5,11/11/2021 01:59,3,1,0,0,0,HM
5,11/11/2021 02:59,5,1,0,0,0,HM
5,11/11/2021 03:59,1,1,1,8,1,HM
5,11/11/2021 04:59,3,1,1,8,1,HM
5,11/11/2021 05:59,1,1,1,8,1,HM
5,11/11/2021 06:59,1,1,1,9,1,HM
5,11/11/2021 07:59,0,0,0,2,1,HM
5,11/11/2021 08:59,3,1,0,0,0,HM
5,11/11/2021 09:59,0,0,0,4,1,HM
5,11/11/2021 10:59,0,0,1,0,0,HM
5,11/11/2021 11:59,0,0,1,0,0,HM
5,11/11/2021 12:59,0,0,1,0,0,HM
5,11/11/2021 13:59,0,0,1,0,0,HM
5,11/11/2021 14:59,0,0,1,0,0,HM
5,11/11/2021 15:59,10,1,0,0,0,HM
5,11/11/2021 16:59,3,1,1,14,1,HM
5,11/11/2021 17:59,2,1,1,5,1,HM
5,11/11/2021 18:59,1,1,1,9,1,HM
5,11/11/2021 19:59,0,0,0,8,1,HM
5,11/11/2021 20:59,0,0,1,0,0,HM
5,11/11/2021 21:59,0,0,1,0,0,HM
5,11/11/2021 22:59,0,0,1,0,0,HM
5,11/11/2021 23:59,0,0,1,0,0,HM
5,12/11/2021 00:59,0,0,1,0,0,HM
5,12/11/2021 01:59,0,0,1,0,0,HM
5,12/11/2021 02:59,0,0,1,0,0,HM
5,12/11/2021 03:59,1,1,1,1,1,HM
5,12/11/2021 04:59,4,1,1,6,1,HM
5,12/11/2021 05:59,0,0,0,16,1,HM
5,12/11/2021 06:59,0,0,0,1,1,HM
5,12/11/2021 07:59,0,0,0,1,1,HM
5,12/11/2021 08:59,0,0,1,0,0,HM
5,12/11/2021 09:59,0,0,1,0,0,HM
5,12/11/2021 10:59,3,1,1,5,1,HM
5,12/11/2021 11:59,0,0,0,10,1,HM
5,12/11/2021 12:59,1,1,1,10,1,HM
5,12/11/2021 13:59,2,1,1,6,1,HM
5,12/11/2021 14:59,0,0,0,25,1,HM
5,12/11/2021 15:59,0,0,1,0,0,HM
5,12/11/2021 16:59,0,0,1,0,0,HM
5,12/11/2021 17:59,0,0,1,0,0,HM
5,12/11/2021 18:59,0,0,1,0,0,HM
5,12/11/2021 19:59,0,0,1,0,0,HM
5,12/11/2021 20:59,0,0,1,0,0,HM
5,12/11/2021 21:59,0,0,1,0,0,HM
5,12/11/2021 22:59,0,0,1,0,0,HM
5,12/11/2021 23:59,0,0,1,0,0,HM
5,13/11/2021 00:59,0,0,1,0,0,HM
5,13/11/2021 01:59,0,0,1,0,0,HM
5,13/11/2021 02:59,0,0,1,0,0,HM
5,13/11/2021 03:59,0,0,1,0,0,HM
5,13/11/2021 04:59,0,0,1,0,0,HM
5,13/11/2021 05:59,0,0,1,0,0,HM
5,13/11/2021 06:59,0,0,1,0,0,HM
5,13/11/2021 07:59,0,0,1,0,0,HM
5,13/11/2021 08:59,0,0,1,0,0,HM
5,13/11/2021 09:59,0,0,1,0,0,HM
5,13/11/2021 10:59,0,0,1,0,0,HM
5,13/11/2021 11:59,1,1,0,0,0,HM
5,13/11/2021 12:59,2,1,0,0,0,HM
5,13/11/2021 13:59,0,0,1,0,0,HM
5,13/11/2021 14:59,0,0,1,0,0,HM
5,13/11/2021 15:59,0,0,0,4,1,HM
5,13/11/2021 16:59,6,1,1,3,1,HM
5,13/11/2021 17:59,23,1,1,13,1,HM
5,13/11/2021 18:59,11,1,1,41,1,HM
5,13/11/2021 19:59,11,1,1,15,1,HM
5,13/11/2021 20:59,1,1,1,21,1,HM
5,13/11/2021 21:59,4,1,1,2,1,HM
5,13/11/2021 22:59,0,0,0,8,1,HM
5,13/11/2021 23:59,0,0,1,0,0,HM
5,14/11/2021 00:59,0,0,1,0,0,HM
5,14/11/2021 01:59,0,0,0,1,1,HM
5,14/11/2021 02:59,0,0,1,0,0,HM
5,14/11/2021 03:59,5,1,1,4,1,HM
5,14/11/2021 04:59,2,1,1,12,1,HM
5,14/11/2021 05:59,8,1,1,5,1,HM
5,14/11/2021 06:59,0,0,0,11,1,HM
5,14/11/2021 07:59,2,1,1,8,1,HM
5,14/11/2021 08:59,1,1,1,12,1,HM
5,14/11/2021 09:59,0,0,0,2,1,HM
5,14/11/2021 10:59,0,0,1,0,0,HM
5,14/11/2021 11:59,0,0,1,0,0,HM
5,14/11/2021 12:59,0,0,0,1,1,HM
5,14/11/2021 13:59,0,0,1,0,0,HM
5,14/11/2021 14:59,0,0,1,0,0,HM
5,14/11/2021 15:59,0,0,1,0,0,HM
5,14/11/2021 16:59,1,1,0,0,0,HM
5,14/11/2021 17:59,20,1,1,4,1,HM
5,14/11/2021 18:59,34,1,1,38,1,HM
5,14/11/2021 19:59,0,0,0,53,1,HM
5,14/11/2021 20:59,0,0,0,8,1,HM
5,14/11/2021 21:59,1,1,0,0,0,HM
5,14/11/2021 22:59,0,0,0,1,1,HM
5,14/11/2021 23:59,0,0,0,2,1,HM
5,15/11/2021 00:59,1,1,1,1,1,HM
5,15/11/2021 01:59,2,1,1,14,1,HM
5,15/11/2021 02:59,5,1,1,14,1,HM
5,15/11/2021 03:59,0,0,0,4,1,HM
5,15/11/2021 04:59,0,0,1,0,0,HM
5,15/11/2021 05:59,0,0,1,0,0,HM
5,15/11/2021 06:59,1,1,0,0,0,HM
5,15/11/2021 07:59,3,1,1,7,1,HM
5,15/11/2021 08:59,6,1,1,8,1,HM
5,15/11/2021 09:59,20,1,1,15,1,HM
5,15/11/2021 10:59,9,1,1,39,1,HM
5,15/11/2021 11:59,10,1,1,28,1,HM
5,15/11/2021 12:59,0,0,0,27,1,HM
5,15/11/2021 13:59,0,0,0,3,1,HM
5,15/11/2021 14:59,10,1,0,0,0,HM
5,15/11/2021 15:59,15,1,1,14,1,HM
5,15/11/2021 16:59,0,0,0,14,1,HM
5,15/11/2021 17:59,0,0,1,0,0,HM
5,15/11/2021 18:59,0,0,1,0,0,HM
5,15/11/2021 19:59,7,1,0,0,0,HM
5,15/11/2021 20:59,0,0,0,9,1,HM
5,15/11/2021 21:59,0,0,1,0,0,HM
5,15/11/2021 22:59,0,0,1,0,0,HM
5,15/11/2021 23:59,0,0,1,0,0,HM
5,16/11/2021 00:59,0,0,1,0,0,HM
5,16/11/2021 01:59,0,0,1,0,0,HM
5,16/11/2021 02:59,0,0,1,0,0,HM
5,16/11/2021 03:59,0,0,1,0,0,HM
5,16/11/2021 04:59,0,0,1,0,0,HM
5,16/11/2021 05:59,0,0,1,0,0,HM
5,16/11/2021 06:59,5,1,0,0,0,HM
5,16/11/2021 07:59,0,0,0,9,1,HM
5,16/11/2021 08:59,0,0,1,0,0,HM
5,16/11/2021 09:59,0,0,1,0,0,HM
5,16/11/2021 10:59,0,0,1,0,0,HM
5,16/11/2021 11:59,0,0,1,0,0,HM
5,16/11/2021 12:59,0,0,1,0,0,HM
5,16/11/2021 13:59,0,0,1,0,0,HM
5,16/11/2021 14:59,0,0,1,0,0,HM
5,16/11/2021 15:59,0,0,0,1,1,HM
5,16/11/2021 16:59,0,0,1,0,0,HM
5,16/11/2021 17:59,0,0,1,0,0,HM
5,16/11/2021 18:59,0,0,1,0,0,HM
5,16/11/2021 19:59,0,0,1,0,0,HM
5,16/11/2021 20:59,0,0,1,0,0,HM
5,16/11/2021 21:59,0,0,1,0,0,HM
5,16/11/2021 22:59,0,0,1,0,0,HM
5,16/11/2021 23:59,0,0,1,0,0,HM
5,17/11/2021 00:59,0,0,1,0,0,HM
5,17/11/2021 01:59,0,0,1,0,0,HM
5,17/11/2021 02:59,0,0,1,0,0,HM
5,17/11/2021 03:59,0,0,1,0,0,HM
5,17/11/2021 04:59,0,0,1,0,0,HM
5,17/11/2021 05:59,0,0,0,1,1,HM
5,17/11/2021 06:59,0,0,1,0,0,HM
5,17/11/2021 07:59,0,0,1,0,0,HM
5,17/11/2021 08:59,0,0,0,1,1,HM
5,17/11/2021 09:59,0,0,1,0,0,HM
5,17/11/2021 10:59,2,1,0,0,0,HM
5,17/11/2021 11:59,0,0,1,0,0,HM
5,17/11/2021 12:59,0,0,1,0,0,HM
5,17/11/2021 13:59,0,0,1,0,0,HM
5,17/11/2021 14:59,0,0,0,2,1,HM
5,17/11/2021 15:59,0,0,1,0,0,HM
5,17/11/2021 16:59,0,0,1,0,0,HM
5,17/11/2021 17:59,0,0,1,0,0,HM
5,17/11/2021 18:59,0,0,1,0,0,HM
5,17/11/2021 19:59,0,0,1,0,0,HM
5,17/11/2021 20:59,4,1,0,0,0,HM
5,17/11/2021 21:59,0,0,0,1,1,HM
5,17/11/2021 22:59,0,0,1,0,0,HM
5,17/11/2021 23:59,0,0,1,0,0,HM
5,18/11/2021 00:59,0,0,1,0,0,HM
5,18/11/2021 01:59,0,0,1,0,0,HM
5,18/11/2021 02:59,0,0,1,0,0,HM
5,18/11/2021 03:59,0,0,0,1,1,HM
5,18/11/2021 04:59,1,1,0,0,0,HM
5,18/11/2021 05:59,0,0,1,0,0,HM
5,18/11/2021 06:59,0,0,1,0,0,HM
5,18/11/2021 07:59,0,0,1,0,0,HM
5,18/11/2021 08:59,0,0,0,1,1,HM
5,18/11/2021 09:59,0,0,1,0,0,HM
5,18/11/2021 10:59,0,0,1,0,0,HM
5,18/11/2021 11:59,0,0,1,0,0,HM
5,18/11/2021 12:59,0,0,1,0,0,HM
5,18/11/2021 13:59,0,0,0,4,1,HM
5,18/11/2021 14:59,0,0,0,1,1,HM
5,18/11/2021 15:59,0,0,1,0,0,HM
5,18/11/2021 16:59,0,0,1,0,0,HM
5,18/11/2021 17:59,0,0,1,0,0,HM
5,18/11/2021 18:59,0,0,1,0,0,HM
5,18/11/2021 19:59,0,0,1,0,0,HM
5,18/11/2021 20:59,0,0,1,0,0,HM
5,18/11/2021 21:59,0,0,1,0,0,HM
5,18/11/2021 22:59,0,0,1,0,0,HM
5,18/11/2021 23:59,1,1,0,0,0,HM
5,19/11/2021 00:59,0,0,1,0,0,HM
5,19/11/2021 01:59,0,0,1,0,0,HM
5,19/11/2021 02:59,0,0,1,0,0,HM
5,19/11/2021 03:59,0,0,1,0,0,HM
5,19/11/2021 04:59,0,0,1,0,0,HM
5,19/11/2021 05:59,0,0,1,0,0,HM
5,19/11/2021 06:59,4,1,0,0,0,HM
5,19/11/2021 07:59,0,0,0,7,1,HM
5,19/11/2021 08:59,0,0,1,0,0,HM
5,19/11/2021 09:59,7,1,0,0,0,HM
5,19/11/2021 10:59,0,0,0,19,1,HM
5,19/11/2021 11:59,2,1,1,22,1,HM
5,19/11/2021 12:59,9,1,1,19,1,HM
5,19/11/2021 13:59,5,1,1,19,1,HM
5,19/11/2021 14:59,0,0,0,24,1,HM
5,19/11/2021 15:59,0,0,1,0,0,HM
5,19/11/2021 16:59,0,0,1,0,0,HM
5,19/11/2021 17:59,0,0,1,0,0,HM
5,19/11/2021 18:59,0,0,0,1,1,HM
5,19/11/2021 19:59,0,0,1,0,0,HM
5,19/11/2021 20:59,2,1,0,0,0,HM
5,19/11/2021 21:59,1,1,1,1,1,HM
5,19/11/2021 22:59,0,0,1,0,0,HM
5,19/11/2021 23:59,0,0,1,0,0,HM
5,20/11/2021 00:59,0,0,1,0,0,HM
5,20/11/2021 01:59,0,0,1,0,0,HM
5,20/11/2021 02:59,0,0,1,0,0,HM
5,20/11/2021 03:59,0,0,1,0,0,HM
5,20/11/2021 04:59,0,0,1,0,0,HM
5,20/11/2021 05:59,0,0,1,0,0,HM
5,20/11/2021 06:59,0,0,1,0,0,HM
5,20/11/2021 07:59,0,0,1,0,0,HM
5,20/11/2021 08:59,1,1,0,0,0,HM
5,20/11/2021 09:59,4,1,0,0,0,HM
5,20/11/2021 10:59,0,0,0,22,1,HM
5,20/11/2021 11:59,0,0,1,0,0,HM
5,20/11/2021 12:59,0,0,1,0,0,HM
5,20/11/2021 13:59,0,0,1,0,0,HM
5,20/11/2021 14:59,0,0,1,0,0,HM
5,20/11/2021 15:59,0,0,1,0,0,HM
5,20/11/2021 16:59,0,0,1,0,0,HM
5,20/11/2021 17:59,0,0,1,0,0,HM
5,20/11/2021 18:59,0,0,1,0,0,HM
5,20/11/2021 19:59,0,0,1,0,0,HM
5,20/11/2021 20:59,0,0,1,0,0,HM
5,20/11/2021 21:59,0,0,1,0,0,HM
5,20/11/2021 22:59,0,0,1,0,0,HM
5,20/11/2021 23:59,0,0,1,0,0,HM
5,21/11/2021 00:59,0,0,1,0,0,HM
5,21/11/2021 01:59,0,0,1,0,0,HM
5,21/11/2021 02:59,0,0,1,0,0,HM
5,21/11/2021 03:59,0,0,1,0,0,HM
5,21/11/2021 04:59,0,0,1,0,0,HM
5,21/11/2021 05:59,1,1,1,1,1,HM
5,21/11/2021 06:59,0,0,0,1,1,HM
5,21/11/2021 07:59,0,0,1,0,0,HM
5,21/11/2021 08:59,3,1,1,10,1,HM
5,21/11/2021 09:59,2,1,1,4,1,HM
5,21/11/2021 10:59,0,0,0,6,1,HM
5,21/11/2021 11:59,0,0,1,0,0,HM
5,21/11/2021 12:59,0,0,1,0,0,HM
5,21/11/2021 13:59,0,0,1,0,0,HM
5,21/11/2021 14:59,0,0,1,0,0,HM
5,21/11/2021 15:59,0,0,1,0,0,HM
5,21/11/2021 16:59,2,1,0,0,0,HM
5,21/11/2021 17:59,2,1,1,3,1,HM
5,21/11/2021 18:59,1,1,1,6,1,HM
5,21/11/2021 19:59,0,0,1,0,0,HM
5,21/11/2021 20:59,0,0,1,0,0,HM
5,21/11/2021 21:59,0,0,1,0,0,HM
5,21/11/2021 22:59,0,0,1,0,0,HM
5,21/11/2021 23:59,0,0,1,0,0,HM
5,22/11/2021 00:59,1,1,0,0,0,HM
5,22/11/2021 01:59,0,0,1,0,0,HM
5,22/11/2021 02:59,0,0,1,0,0,HM
5,22/11/2021 03:59,0,0,1,0,0,HM
5,22/11/2021 04:59,0,0,1,0,0,HM
5,22/11/2021 05:59,1,1,0,0,0,HM
5,22/11/2021 06:59,1,1,1,1,1,HM
5,22/11/2021 07:59,0,0,0,1,1,HM
5,22/11/2021 08:59,0,0,1,0,0,HM
5,22/11/2021 09:59,0,0,1,0,0,HM
5,22/11/2021 10:59,0,0,1,0,0,HM
5,22/11/2021 11:59,0,0,1,0,0,HM
5,22/11/2021 12:59,0,0,1,0,0,HM
5,22/11/2021 13:59,4,1,0,0,0,HM
5,22/11/2021 14:59,0,0,0,2,1,HM
5,22/11/2021 15:59,0,0,1,0,0,HM
