Deployment,datetime,C_DPM,C_DPH,Match,F_DPM,F_DPH,Filter
5,17/11/2021 05:59,0,0,1,0,0,H
5,17/11/2021 06:59,0,0,1,0,0,H
5,17/11/2021 07:59,0,0,1,0,0,H
5,17/11/2021 08:59,0,0,1,0,0,H
5,17/11/2021 09:59,0,0,1,0,0,H
5,17/11/2021 10:59,1,1,0,0,0,H
5,17/11/2021 11:59,0,0,1,0,0,H
5,17/11/2021 12:59,0,0,1,0,0,H
5,17/11/2021 13:59,0,0,1,0,0,H
5,17/11/2021 14:59,0,0,0,2,1,H
5,17/11/2021 15:59,0,0,1,0,0,H
5,17/11/2021 16:59,0,0,1,0,0,H
5,17/11/2021 17:59,0,0,1,0,0,H
5,17/11/2021 18:59,0,0,1,0,0,H
5,17/11/2021 19:59,0,0,1,0,0,H
5,17/11/2021 20:59,0,0,1,0,0,H
5,17/11/2021 21:59,0,0,1,0,0,H
5,17/11/2021 22:59,0,0,1,0,0,H
5,17/11/2021 23:59,0,0,1,0,0,H
5,18/11/2021 00:59,0,0,1,0,0,H
5,18/11/2021 01:59,0,0,1,0,0,H
5,18/11/2021 02:59,0,0,1,0,0,H
5,18/11/2021 03:59,0,0,0,1,1,H
5,18/11/2021 04:59,0,0,1,0,0,H
5,18/11/2021 05:59,0,0,1,0,0,H
5,18/11/2021 06:59,0,0,1,0,0,H
5,18/11/2021 07:59,0,0,1,0,0,H
5,18/11/2021 08:59,0,0,0,1,1,H
5,18/11/2021 09:59,0,0,1,0,0,H
5,18/11/2021 10:59,0,0,1,0,0,H
5,18/11/2021 11:59,0,0,1,0,0,H
5,18/11/2021 12:59,0,0,1,0,0,H
5,18/11/2021 13:59,0,0,0,4,1,H
5,18/11/2021 14:59,0,0,0,1,1,H
5,18/11/2021 15:59,0,0,1,0,0,H
5,18/11/2021 16:59,0,0,1,0,0,H
5,18/11/2021 17:59,0,0,1,0,0,H
5,18/11/2021 18:59,0,0,1,0,0,H
5,18/11/2021 19:59,0,0,1,0,0,H
5,18/11/2021 20:59,0,0,1,0,0,H
5,18/11/2021 21:59,0,0,1,0,0,H
5,18/11/2021 22:59,0,0,1,0,0,H
5,18/11/2021 23:59,0,0,1,0,0,H
5,19/11/2021 00:59,0,0,1,0,0,H
5,19/11/2021 01:59,0,0,1,0,0,H
5,19/11/2021 02:59,0,0,1,0,0,H
5,19/11/2021 03:59,0,0,1,0,0,H
5,19/11/2021 04:59,0,0,1,0,0,H
5,19/11/2021 05:59,0,0,1,0,0,H
5,19/11/2021 06:59,1,1,0,0,0,H
5,19/11/2021 07:59,0,0,0,6,1,H
5,19/11/2021 08:59,0,0,1,0,0,H
5,19/11/2021 09:59,0,0,1,0,0,H
5,19/11/2021 10:59,0,0,0,16,1,H
5,19/11/2021 11:59,1,1,1,14,1,H
5,19/11/2021 12:59,1,1,1,19,1,H
5,19/11/2021 13:59,0,0,0,17,1,H
5,19/11/2021 14:59,0,0,0,17,1,H
5,19/11/2021 15:59,0,0,1,0,0,H
5,19/11/2021 16:59,0,0,1,0,0,H
5,19/11/2021 17:59,0,0,1,0,0,H
5,19/11/2021 18:59,0,0,1,0,0,H
5,19/11/2021 19:59,0,0,1,0,0,H
5,19/11/2021 20:59,1,1,0,0,0,H
5,19/11/2021 21:59,0,0,0,1,1,H
5,19/11/2021 22:59,0,0,1,0,0,H
5,19/11/2021 23:59,0,0,1,0,0,H
5,20/11/2021 00:59,0,0,1,0,0,H
5,20/11/2021 01:59,0,0,1,0,0,H
5,20/11/2021 02:59,0,0,1,0,0,H
5,20/11/2021 03:59,0,0,1,0,0,H
5,20/11/2021 04:59,0,0,1,0,0,H
5,20/11/2021 05:59,0,0,1,0,0,H
5,20/11/2021 06:59,0,0,1,0,0,H
5,20/11/2021 07:59,0,0,1,0,0,H
5,20/11/2021 08:59,0,0,1,0,0,H
5,20/11/2021 09:59,2,1,0,0,0,H
5,20/11/2021 10:59,0,0,0,20,1,H
5,20/11/2021 11:59,0,0,1,0,0,H
5,20/11/2021 12:59,0,0,1,0,0,H
5,20/11/2021 13:59,0,0,1,0,0,H
5,20/11/2021 14:59,0,0,1,0,0,H
5,20/11/2021 15:59,0,0,1,0,0,H
5,20/11/2021 16:59,0,0,1,0,0,H
5,20/11/2021 17:59,0,0,1,0,0,H
5,20/11/2021 18:59,0,0,1,0,0,H
5,20/11/2021 19:59,0,0,1,0,0,H
5,20/11/2021 20:59,0,0,1,0,0,H
5,20/11/2021 21:59,0,0,1,0,0,H
5,20/11/2021 22:59,0,0,1,0,0,H
5,20/11/2021 23:59,0,0,1,0,0,H
5,21/11/2021 00:59,0,0,1,0,0,H
5,21/11/2021 01:59,0,0,1,0,0,H
5,21/11/2021 02:59,0,0,1,0,0,H
5,21/11/2021 03:59,0,0,1,0,0,H
5,21/11/2021 04:59,0,0,1,0,0,H
5,21/11/2021 05:59,0,0,1,0,0,H
5,21/11/2021 06:59,0,0,0,1,1,H
5,21/11/2021 07:59,0,0,1,0,0,H
5,21/11/2021 08:59,0,0,0,9,1,H
5,21/11/2021 09:59,0,0,0,3,1,H
5,21/11/2021 10:59,0,0,0,5,1,H
5,21/11/2021 11:59,0,0,1,0,0,H
5,21/11/2021 12:59,0,0,1,0,0,H
5,21/11/2021 13:59,0,0,1,0,0,H
5,21/11/2021 14:59,0,0,1,0,0,H
5,21/11/2021 15:59,0,0,1,0,0,H
5,21/11/2021 16:59,0,0,1,0,0,H
5,21/11/2021 17:59,0,0,0,3,1,H
5,21/11/2021 18:59,0,0,0,5,1,H
5,21/11/2021 19:59,0,0,1,0,0,H
5,21/11/2021 20:59,0,0,1,0,0,H
5,21/11/2021 21:59,0,0,1,0,0,H
5,21/11/2021 22:59,0,0,1,0,0,H
5,21/11/2021 23:59,0,0,1,0,0,H
5,22/11/2021 00:59,0,0,1,0,0,H
5,22/11/2021 01:59,0,0,1,0,0,H
5,22/11/2021 02:59,0,0,1,0,0,H
5,22/11/2021 03:59,0,0,1,0,0,H
5,22/11/2021 04:59,0,0,1,0,0,H
5,22/11/2021 05:59,1,1,0,0,0,H
5,22/11/2021 06:59,0,0,0,1,1,H
5,22/11/2021 07:59,0,0,0,1,1,H
5,22/11/2021 08:59,0,0,1,0,0,H
5,22/11/2021 09:59,0,0,1,0,0,H
5,22/11/2021 10:59,0,0,1,0,0,H
5,22/11/2021 11:59,0,0,1,0,0,H
5,22/11/2021 12:59,0,0,1,0,0,H
5,22/11/2021 13:59,2,1,0,0,0,H
5,22/11/2021 14:59,0,0,0,2,1,H
5,22/11/2021 15:59,0,0,1,0,0,H
5,22/11/2021 16:59,0,0,1,0,0,H
5,22/11/2021 17:59,0,0,0,2,1,H
5,22/11/2021 18:59,0,0,1,0,0,H
5,22/11/2021 19:59,0,0,1,0,0,H
5,22/11/2021 20:59,0,0,1,0,0,H
5,22/11/2021 21:59,0,0,1,0,0,H
5,22/11/2021 22:59,0,0,1,0,0,H
5,22/11/2021 23:59,0,0,1,0,0,H
5,23/11/2021 00:59,0,0,1,0,0,H
5,23/11/2021 01:59,0,0,1,0,0,H
5,23/11/2021 02:59,0,0,1,0,0,H
5,23/11/2021 03:59,0,0,1,0,0,H
5,23/11/2021 04:59,0,0,1,0,0,H
5,23/11/2021 05:59,0,0,1,0,0,H
5,23/11/2021 06:59,0,0,1,0,0,H
5,23/11/2021 07:59,0,0,1,0,0,H
5,23/11/2021 08:59,0,0,1,0,0,H
5,23/11/2021 09:59,0,0,1,0,0,H
5,23/11/2021 10:59,0,0,1,0,0,H
5,23/11/2021 11:59,0,0,0,3,1,H
5,23/11/2021 12:59,0,0,1,0,0,H
5,23/11/2021 13:59,1,1,0,0,0,H
5,23/11/2021 14:59,0,0,0,16,1,H
5,23/11/2021 15:59,0,0,0,1,1,H
5,23/11/2021 16:59,0,0,0,1,1,H
5,23/11/2021 17:59,0,0,0,1,1,H
5,23/11/2021 18:59,0,0,1,0,0,H
5,23/11/2021 19:59,0,0,0,1,1,H
5,23/11/2021 20:59,0,0,0,1,1,H
5,23/11/2021 21:59,0,0,1,0,0,H
5,23/11/2021 22:59,0,0,1,0,0,H
5,23/11/2021 23:59,0,0,1,0,0,H
5,24/11/2021 00:59,5,1,0,0,0,H
5,24/11/2021 01:59,0,0,0,9,1,H
5,24/11/2021 02:59,0,0,1,0,0,H
5,24/11/2021 03:59,0,0,1,0,0,H
5,24/11/2021 04:59,0,0,0,2,1,H
5,24/11/2021 05:59,6,1,1,17,1,H
5,24/11/2021 06:59,0,0,0,32,1,H
5,24/11/2021 07:59,0,0,0,1,1,H
5,24/11/2021 08:59,0,0,0,1,1,H
5,24/11/2021 09:59,0,0,0,2,1,H
5,24/11/2021 10:59,0,0,1,0,0,H
5,24/11/2021 11:59,0,0,1,0,0,H
5,24/11/2021 12:59,0,0,1,0,0,H
5,24/11/2021 13:59,0,0,1,0,0,H
5,24/11/2021 14:59,0,0,1,0,0,H
5,24/11/2021 15:59,0,0,1,0,0,H
5,24/11/2021 16:59,0,0,1,0,0,H
5,24/11/2021 17:59,0,0,1,0,0,H
5,24/11/2021 18:59,0,0,1,0,0,H
5,24/11/2021 19:59,0,0,0,1,1,H
5,24/11/2021 20:59,0,0,1,0,0,H
5,24/11/2021 21:59,0,0,1,0,0,H
5,24/11/2021 22:59,0,0,1,0,0,H
5,24/11/2021 23:59,0,0,1,0,0,H
5,25/11/2021 00:59,0,0,1,0,0,H
5,25/11/2021 01:59,0,0,1,0,0,H
5,25/11/2021 02:59,0,0,1,0,0,H
5,25/11/2021 03:59,0,0,0,5,1,H
5,25/11/2021 04:59,0,0,0,2,1,H
5,25/11/2021 05:59,0,0,1,0,0,H
5,25/11/2021 06:59,0,0,1,0,0,H
5,25/11/2021 07:59,0,0,0,1,1,H
5,25/11/2021 08:59,0,0,0,3,1,H
5,25/11/2021 09:59,0,0,1,0,0,H
5,25/11/2021 10:59,1,1,0,0,0,H
5,25/11/2021 11:59,0,0,0,2,1,H
5,25/11/2021 12:59,0,0,1,0,0,H
5,25/11/2021 13:59,0,0,1,0,0,H
5,25/11/2021 14:59,0,0,1,0,0,H
5,25/11/2021 15:59,0,0,1,0,0,H
5,25/11/2021 16:59,0,0,1,0,0,H
5,25/11/2021 17:59,0,0,1,0,0,H
5,25/11/2021 18:59,0,0,1,0,0,H
5,25/11/2021 19:59,0,0,1,0,0,H
5,25/11/2021 20:59,0,0,1,0,0,H
5,25/11/2021 21:59,0,0,1,0,0,H
5,25/11/2021 22:59,0,0,1,0,0,H
5,25/11/2021 23:59,0,0,1,0,0,H
5,26/11/2021 00:59,0,0,1,0,0,H
5,26/11/2021 01:59,0,0,1,0,0,H
5,26/11/2021 02:59,0,0,1,0,0,H
5,26/11/2021 03:59,0,0,1,0,0,H
5,26/11/2021 04:59,0,0,1,0,0,H
5,26/11/2021 05:59,0,0,1,0,0,H
5,26/11/2021 06:59,0,0,1,0,0,H
5,26/11/2021 07:59,0,0,1,0,0,H
5,26/11/2021 08:59,0,0,1,0,0,H
5,26/11/2021 09:59,0,0,1,0,0,H
5,26/11/2021 10:59,0,0,1,0,0,H
5,26/11/2021 11:59,0,0,1,0,0,H
5,26/11/2021 12:59,0,0,1,0,0,H
5,26/11/2021 13:59,0,0,1,0,0,H
5,26/11/2021 14:59,0,0,1,0,0,H
5,26/11/2021 15:59,0,0,1,0,0,H
5,26/11/2021 16:59,0,0,1,0,0,H
5,26/11/2021 17:59,0,0,1,0,0,H
5,26/11/2021 18:59,0,0,1,0,0,H
5,26/11/2021 19:59,0,0,0,1,1,H
5,26/11/2021 20:59,0,0,1,0,0,H
5,26/11/2021 21:59,0,0,1,0,0,H
5,26/11/2021 22:59,0,0,1,0,0,H
5,26/11/2021 23:59,0,0,1,0,0,H
5,27/11/2021 00:59,0,0,0,1,1,H
5,27/11/2021 01:59,0,0,1,0,0,H
5,27/11/2021 02:59,0,0,1,0,0,H
5,27/11/2021 03:59,0,0,1,0,0,H
5,27/11/2021 04:59,0,0,1,0,0,H
5,27/11/2021 05:59,0,0,1,0,0,H
5,27/11/2021 06:59,0,0,0,2,1,H
5,27/11/2021 07:59,0,0,1,0,0,H
5,27/11/2021 08:59,0,0,0,1,1,H
5,27/11/2021 09:59,0,0,0,3,1,H
5,27/11/2021 10:59,0,0,1,0,0,H
5,27/11/2021 11:59,0,0,1,0,0,H
5,27/11/2021 12:59,0,0,0,3,1,H
5,27/11/2021 13:59,0,0,0,2,1,H
5,27/11/2021 14:59,0,0,1,0,0,H
5,27/11/2021 15:59,0,0,1,0,0,H
5,27/11/2021 16:59,0,0,1,0,0,H
5,27/11/2021 17:59,0,0,1,0,0,H
5,27/11/2021 18:59,0,0,1,0,0,H
5,27/11/2021 19:59,0,0,1,0,0,H
5,27/11/2021 20:59,0,0,1,0,0,H
5,27/11/2021 21:59,0,0,1,0,0,H
5,27/11/2021 22:59,0,0,0,1,1,H
5,27/11/2021 23:59,1,1,0,0,0,H
5,28/11/2021 00:59,2,1,1,2,1,H
5,28/11/2021 01:59,0,0,0,4,1,H
5,28/11/2021 02:59,0,0,1,0,0,H
5,28/11/2021 03:59,0,0,1,0,0,H
5,28/11/2021 04:59,0,0,1,0,0,H
5,28/11/2021 05:59,0,0,1,0,0,H
5,28/11/2021 06:59,0,0,0,2,1,H
5,28/11/2021 07:59,0,0,0,1,1,H
5,28/11/2021 08:59,0,0,1,0,0,H
5,28/11/2021 09:59,0,0,1,0,0,H
5,28/11/2021 10:59,0,0,0,8,1,H
5,28/11/2021 11:59,0,0,0,7,1,H
5,28/11/2021 12:59,0,0,1,0,0,H
5,28/11/2021 13:59,1,1,0,0,0,H
5,28/11/2021 14:59,1,1,1,7,1,H
5,28/11/2021 15:59,0,0,0,5,1,H
5,28/11/2021 16:59,4,1,1,13,1,H
5,28/11/2021 17:59,0,0,0,10,1,H
5,28/11/2021 18:59,0,0,0,1,1,H
5,28/11/2021 19:59,0,0,1,0,0,H
5,28/11/2021 20:59,0,0,1,0,0,H
5,28/11/2021 21:59,0,0,1,0,0,H
5,28/11/2021 22:59,1,1,0,0,0,H
5,28/11/2021 23:59,0,0,0,3,1,H
5,29/11/2021 00:59,1,1,1,4,1,H
5,29/11/2021 01:59,1,1,1,1,1,H
5,29/11/2021 02:59,0,0,0,4,1,H
5,29/11/2021 03:59,0,0,1,0,0,H
5,29/11/2021 04:59,0,0,1,0,0,H
5,29/11/2021 05:59,0,0,1,0,0,H
5,29/11/2021 06:59,0,0,1,0,0,H
5,29/11/2021 07:59,0,0,0,1,1,H
5,29/11/2021 08:59,0,0,1,0,0,H
5,29/11/2021 09:59,2,1,0,0,0,H
5,29/11/2021 10:59,0,0,0,3,1,H
5,29/11/2021 11:59,0,0,1,0,0,H
5,29/11/2021 12:59,0,0,0,1,1,H
5,29/11/2021 13:59,0,0,0,3,1,H
5,29/11/2021 14:59,0,0,1,0,0,H
5,29/11/2021 15:59,0,0,0,5,1,H
5,29/11/2021 16:59,1,1,1,5,1,H
5,29/11/2021 17:59,0,0,0,16,1,H
5,29/11/2021 18:59,0,0,0,3,1,H
5,29/11/2021 19:59,0,0,1,0,0,H
5,29/11/2021 20:59,0,0,1,0,0,H
5,29/11/2021 21:59,0,0,1,0,0,H
5,29/11/2021 22:59,0,0,1,0,0,H
5,29/11/2021 23:59,0,0,1,0,0,H
5,30/11/2021 00:59,0,0,1,0,0,H
5,30/11/2021 01:59,0,0,0,7,1,H
5,30/11/2021 02:59,0,0,0,2,1,H
5,30/11/2021 03:59,0,0,1,0,0,H
5,30/11/2021 04:59,0,0,1,0,0,H
5,30/11/2021 05:59,0,0,1,0,0,H
5,30/11/2021 06:59,0,0,1,0,0,H
5,30/11/2021 07:59,0,0,0,2,1,H
5,30/11/2021 08:59,0,0,1,0,0,H
5,30/11/2021 09:59,0,0,0,1,1,H
5,30/11/2021 10:59,0,0,0,2,1,H
5,30/11/2021 11:59,0,0,1,0,0,H
5,30/11/2021 12:59,0,0,0,5,1,H
5,30/11/2021 13:59,0,0,0,1,1,H
5,30/11/2021 14:59,0,0,0,1,1,H
5,30/11/2021 15:59,0,0,0,1,1,H
5,30/11/2021 16:59,0,0,1,0,0,H
5,30/11/2021 17:59,0,0,0,4,1,H
5,30/11/2021 18:59,0,0,0,5,1,H
5,30/11/2021 19:59,1,1,0,0,0,H
5,30/11/2021 20:59,0,0,0,3,1,H
5,30/11/2021 21:59,0,0,0,5,1,H
5,30/11/2021 22:59,0,0,0,3,1,H
5,30/11/2021 23:59,0,0,0,1,1,H
5,01/12/2021 00:59,0,0,1,0,0,H
5,01/12/2021 01:59,0,0,1,0,0,H
5,01/12/2021 02:59,0,0,1,0,0,H
5,01/12/2021 03:59,0,0,1,0,0,H
5,01/12/2021 04:59,0,0,1,0,0,H
5,01/12/2021 05:59,0,0,1,0,0,H
5,01/12/2021 06:59,0,0,0,2,1,H
5,01/12/2021 07:59,0,0,1,0,0,H
5,01/12/2021 08:59,0,0,1,0,0,H
5,01/12/2021 09:59,0,0,1,0,0,H
5,01/12/2021 10:59,0,0,1,0,0,H
5,01/12/2021 11:59,0,0,1,0,0,H
5,01/12/2021 12:59,0,0,1,0,0,H
5,01/12/2021 13:59,0,0,0,4,1,H
5,01/12/2021 14:59,0,0,1,0,0,H
5,01/12/2021 15:59,0,0,0,3,1,H
5,01/12/2021 16:59,0,0,0,1,1,H
5,01/12/2021 17:59,0,0,0,2,1,H
5,01/12/2021 18:59,0,0,1,0,0,H
5,01/12/2021 19:59,0,0,1,0,0,H
5,01/12/2021 20:59,0,0,1,0,0,H
5,01/12/2021 21:59,0,0,1,0,0,H
5,01/12/2021 22:59,0,0,1,0,0,H
5,01/12/2021 23:59,0,0,1,0,0,H
5,02/12/2021 00:59,0,0,1,0,0,H
5,02/12/2021 01:59,0,0,1,0,0,H
5,02/12/2021 02:59,0,0,1,0,0,H
5,02/12/2021 03:59,0,0,1,0,0,H
5,02/12/2021 04:59,0,0,1,0,0,H
5,02/12/2021 05:59,0,0,1,0,0,H
5,02/12/2021 06:59,0,0,1,0,0,H
5,02/12/2021 07:59,0,0,1,0,0,H
5,02/12/2021 08:59,0,0,1,0,0,H
5,02/12/2021 09:59,0,0,0,4,1,H
5,02/12/2021 10:59,0,0,1,0,0,H
5,02/12/2021 11:59,0,0,1,0,0,H
5,02/12/2021 12:59,0,0,0,1,1,H
5,02/12/2021 13:59,0,0,1,0,0,H
5,02/12/2021 14:59,0,0,0,5,1,H
5,02/12/2021 15:59,0,0,0,7,1,H
5,02/12/2021 16:59,0,0,0,6,1,H
5,02/12/2021 17:59,0,0,1,0,0,H
5,02/12/2021 18:59,0,0,1,0,0,H
5,02/12/2021 19:59,0,0,1,0,0,H
5,02/12/2021 20:59,0,0,1,0,0,H
