Deployment,datetime,C_DPM,C_DPH,Match,F_DPM,F_DPH,Filter
4,30/08/2021 00:59,0,0,1,0,0,H
4,30/08/2021 01:59,0,0,1,0,0,H
4,30/08/2021 02:59,0,0,1,0,0,H
4,30/08/2021 03:59,0,0,0,1,1,H
4,30/08/2021 04:59,0,0,0,1,1,H
4,30/08/2021 05:59,0,0,1,0,0,H
4,30/08/2021 06:59,0,0,0,1,1,H
4,30/08/2021 07:59,0,0,1,0,0,H
4,30/08/2021 08:59,0,0,1,0,0,H
4,30/08/2021 09:59,0,0,1,0,0,H
4,30/08/2021 10:59,0,0,1,0,0,H
4,30/08/2021 11:59,0,0,1,0,0,H
4,30/08/2021 12:59,0,0,1,0,0,H
4,30/08/2021 13:59,0,0,1,0,0,H
4,30/08/2021 14:59,0,0,1,0,0,H
4,30/08/2021 15:59,0,0,1,0,0,H
4,30/08/2021 16:59,0,0,1,0,0,H
4,30/08/2021 17:59,0,0,1,0,0,H
4,30/08/2021 18:59,0,0,0,4,1,H
4,30/08/2021 19:59,0,0,1,0,0,H
4,30/08/2021 20:59,0,0,1,0,0,H
4,30/08/2021 21:59,0,0,1,0,0,H
4,30/08/2021 22:59,0,0,1,0,0,H
4,30/08/2021 23:59,0,0,1,0,0,H
4,31/08/2021 00:59,0,0,1,0,0,H
4,31/08/2021 01:59,0,0,1,0,0,H
4,31/08/2021 02:59,0,0,0,1,1,H
4,31/08/2021 03:59,0,0,1,0,0,H
4,31/08/2021 04:59,0,0,1,0,0,H
4,31/08/2021 05:59,0,0,1,0,0,H
4,31/08/2021 06:59,0,0,1,0,0,H
4,31/08/2021 07:59,0,0,1,0,0,H
4,31/08/2021 08:59,0,0,1,0,0,H
4,31/08/2021 09:59,0,0,1,0,0,H
4,31/08/2021 10:59,0,0,1,0,0,H
4,31/08/2021 11:59,0,0,1,0,0,H
4,31/08/2021 12:59,0,0,1,0,0,H
4,31/08/2021 13:59,0,0,1,0,0,H
4,31/08/2021 14:59,0,0,1,0,0,H
4,31/08/2021 15:59,0,0,1,0,0,H
4,31/08/2021 16:59,0,0,1,0,0,H
4,31/08/2021 17:59,0,0,1,0,0,H
4,31/08/2021 18:59,0,0,1,0,0,H
4,31/08/2021 19:59,0,0,1,0,0,H
4,31/08/2021 20:59,0,0,1,0,0,H
4,31/08/2021 21:59,0,0,1,0,0,H
4,31/08/2021 22:59,0,0,1,0,0,H
4,31/08/2021 23:59,0,0,1,0,0,H
4,01/09/2021 00:59,0,0,1,0,0,H
4,01/09/2021 01:59,0,0,1,0,0,H
4,01/09/2021 02:59,0,0,1,0,0,H
4,01/09/2021 03:59,0,0,1,0,0,H
4,01/09/2021 04:59,0,0,1,0,0,H
4,01/09/2021 05:59,0,0,1,0,0,H
4,01/09/2021 06:59,0,0,1,0,0,H
4,01/09/2021 07:59,0,0,1,0,0,H
4,01/09/2021 08:59,0,0,1,0,0,H
4,01/09/2021 09:59,0,0,1,0,0,H
4,01/09/2021 10:59,0,0,1,0,0,H
4,01/09/2021 11:59,0,0,1,0,0,H
4,01/09/2021 12:59,0,0,1,0,0,H
4,01/09/2021 13:59,0,0,1,0,0,H
4,01/09/2021 14:59,0,0,1,0,0,H
4,01/09/2021 15:59,0,0,1,0,0,H
4,01/09/2021 16:59,0,0,1,0,0,H
4,01/09/2021 17:59,0,0,1,0,0,H
4,01/09/2021 18:59,0,0,1,0,0,H
4,01/09/2021 19:59,0,0,1,0,0,H
4,01/09/2021 20:59,0,0,1,0,0,H
4,01/09/2021 21:59,0,0,1,0,0,H
4,01/09/2021 22:59,1,1,1,1,1,H
4,01/09/2021 23:59,0,0,1,0,0,H
4,02/09/2021 00:59,0,0,0,1,1,H
4,02/09/2021 01:59,0,0,1,0,0,H
4,02/09/2021 02:59,0,0,1,0,0,H
4,02/09/2021 03:59,0,0,0,1,1,H
4,02/09/2021 04:59,0,0,1,0,0,H
4,02/09/2021 05:59,0,0,1,0,0,H
4,02/09/2021 06:59,0,0,1,0,0,H
4,02/09/2021 07:59,0,0,1,0,0,H
4,02/09/2021 08:59,0,0,1,0,0,H
4,02/09/2021 09:59,0,0,1,0,0,H
4,02/09/2021 10:59,0,0,1,0,0,H
4,02/09/2021 11:59,0,0,1,0,0,H
4,02/09/2021 12:59,0,0,1,0,0,H
4,02/09/2021 13:59,0,0,1,0,0,H
4,02/09/2021 14:59,0,0,1,0,0,H
4,02/09/2021 15:59,0,0,1,0,0,H
4,02/09/2021 16:59,0,0,1,0,0,H
4,02/09/2021 17:59,0,0,1,0,0,H
4,02/09/2021 18:59,0,0,1,0,0,H
4,02/09/2021 19:59,0,0,1,0,0,H
4,02/09/2021 20:59,0,0,1,0,0,H
4,02/09/2021 21:59,0,0,1,0,0,H
4,02/09/2021 22:59,0,0,1,0,0,H
4,02/09/2021 23:59,0,0,1,0,0,H
4,03/09/2021 00:59,0,0,1,0,0,H
4,03/09/2021 01:59,0,0,1,0,0,H
4,03/09/2021 02:59,0,0,0,1,1,H
4,03/09/2021 03:59,0,0,1,0,0,H
4,03/09/2021 04:59,0,0,1,0,0,H
4,03/09/2021 05:59,0,0,1,0,0,H
4,03/09/2021 06:59,0,0,1,0,0,H
4,03/09/2021 07:59,0,0,1,0,0,H
4,03/09/2021 08:59,1,1,1,2,1,H
4,03/09/2021 09:59,0,0,1,0,0,H
4,03/09/2021 10:59,0,0,1,0,0,H
4,03/09/2021 11:59,0,0,1,0,0,H
4,03/09/2021 12:59,0,0,1,0,0,H
4,03/09/2021 13:59,0,0,1,0,0,H
4,03/09/2021 14:59,0,0,1,0,0,H
4,03/09/2021 15:59,0,0,1,0,0,H
4,03/09/2021 16:59,0,0,1,0,0,H
4,03/09/2021 17:59,0,0,1,0,0,H
4,03/09/2021 18:59,0,0,1,0,0,H
4,03/09/2021 19:59,0,0,1,0,0,H
4,03/09/2021 20:59,0,0,1,0,0,H
4,03/09/2021 21:59,0,0,1,0,0,H
4,03/09/2021 22:59,0,0,1,0,0,H
4,03/09/2021 23:59,0,0,1,0,0,H
4,04/09/2021 00:59,0,0,1,0,0,H
4,04/09/2021 01:59,0,0,1,0,0,H
4,04/09/2021 02:59,0,0,1,0,0,H
4,04/09/2021 03:59,0,0,1,0,0,H
4,04/09/2021 04:59,0,0,1,0,0,H
4,04/09/2021 05:59,0,0,1,0,0,H
4,04/09/2021 06:59,0,0,1,0,0,H
4,04/09/2021 07:59,0,0,1,0,0,H
4,04/09/2021 08:59,0,0,1,0,0,H
4,04/09/2021 09:59,0,0,1,0,0,H
4,04/09/2021 10:59,0,0,1,0,0,H
4,04/09/2021 11:59,0,0,1,0,0,H
4,04/09/2021 12:59,0,0,1,0,0,H
4,04/09/2021 13:59,0,0,1,0,0,H
4,04/09/2021 14:59,0,0,1,0,0,H
4,04/09/2021 15:59,0,0,1,0,0,H
4,04/09/2021 16:59,0,0,0,1,1,H
4,04/09/2021 17:59,0,0,1,0,0,H
4,04/09/2021 18:59,0,0,1,0,0,H
4,04/09/2021 19:59,0,0,1,0,0,H
4,04/09/2021 20:59,0,0,1,0,0,H
4,04/09/2021 21:59,0,0,0,1,1,H
4,04/09/2021 22:59,0,0,1,0,0,H
4,04/09/2021 23:59,0,0,1,0,0,H
4,05/09/2021 00:59,0,0,1,0,0,H
4,05/09/2021 01:59,0,0,1,0,0,H
4,05/09/2021 02:59,0,0,1,0,0,H
4,05/09/2021 03:59,0,0,1,0,0,H
4,05/09/2021 04:59,0,0,1,0,0,H
4,05/09/2021 05:59,0,0,1,0,0,H
4,05/09/2021 06:59,0,0,1,0,0,H
4,05/09/2021 07:59,0,0,1,0,0,H
4,05/09/2021 08:59,0,0,0,1,1,H
4,05/09/2021 09:59,0,0,1,0,0,H
4,05/09/2021 10:59,0,0,1,0,0,H
4,05/09/2021 11:59,0,0,1,0,0,H
4,05/09/2021 12:59,0,0,1,0,0,H
4,05/09/2021 13:59,0,0,1,0,0,H
4,05/09/2021 14:59,0,0,1,0,0,H
4,05/09/2021 15:59,0,0,1,0,0,H
4,05/09/2021 16:59,0,0,1,0,0,H
4,05/09/2021 17:59,0,0,1,0,0,H
4,05/09/2021 18:59,0,0,1,0,0,H
4,05/09/2021 19:59,0,0,1,0,0,H
4,05/09/2021 20:59,0,0,1,0,0,H
4,05/09/2021 21:59,0,0,1,0,0,H
4,05/09/2021 22:59,0,0,1,0,0,H
4,05/09/2021 23:59,0,0,1,0,0,H
4,06/09/2021 00:59,0,0,0,2,1,H
4,06/09/2021 01:59,0,0,1,0,0,H
4,06/09/2021 02:59,0,0,1,0,0,H
4,06/09/2021 03:59,0,0,1,0,0,H
4,06/09/2021 04:59,0,0,0,2,1,H
4,06/09/2021 05:59,0,0,1,0,0,H
4,06/09/2021 06:59,0,0,1,0,0,H
4,06/09/2021 07:59,0,0,1,0,0,H
4,06/09/2021 08:59,0,0,1,0,0,H
4,06/09/2021 09:59,0,0,1,0,0,H
4,06/09/2021 10:59,0,0,1,0,0,H
4,06/09/2021 11:59,0,0,1,0,0,H
4,06/09/2021 12:59,0,0,1,0,0,H
4,06/09/2021 13:59,0,0,1,0,0,H
4,06/09/2021 14:59,0,0,1,0,0,H
4,06/09/2021 15:59,0,0,1,0,0,H
4,06/09/2021 16:59,0,0,0,2,1,H
4,06/09/2021 17:59,0,0,1,0,0,H
4,06/09/2021 18:59,0,0,1,0,0,H
4,06/09/2021 19:59,0,0,1,0,0,H
4,06/09/2021 20:59,0,0,1,0,0,H
4,06/09/2021 21:59,0,0,1,0,0,H
4,06/09/2021 22:59,0,0,1,0,0,H
4,06/09/2021 23:59,0,0,1,0,0,H
4,07/09/2021 00:59,0,0,1,0,0,H
4,07/09/2021 01:59,0,0,1,0,0,H
4,07/09/2021 02:59,0,0,1,0,0,H
4,07/09/2021 03:59,0,0,1,0,0,H
4,07/09/2021 04:59,0,0,1,0,0,H
4,07/09/2021 05:59,1,1,1,4,1,H
4,07/09/2021 06:59,0,0,1,0,0,H
4,07/09/2021 07:59,0,0,1,0,0,H
4,07/09/2021 08:59,0,0,1,0,0,H
4,07/09/2021 09:59,0,0,1,0,0,H
4,07/09/2021 10:59,0,0,1,0,0,H
4,07/09/2021 11:59,0,0,1,0,0,H
4,07/09/2021 12:59,0,0,1,0,0,H
4,07/09/2021 13:59,0,0,1,0,0,H
4,07/09/2021 14:59,0,0,1,0,0,H
4,07/09/2021 15:59,0,0,1,0,0,H
4,07/09/2021 16:59,0,0,1,0,0,H
4,07/09/2021 17:59,0,0,1,0,0,H
4,07/09/2021 18:59,0,0,1,0,0,H
4,07/09/2021 19:59,0,0,1,0,0,H
4,07/09/2021 20:59,0,0,0,1,1,H
4,07/09/2021 21:59,1,1,0,0,0,H
4,07/09/2021 22:59,0,0,1,0,0,H
4,07/09/2021 23:59,0,0,1,0,0,H
4,08/09/2021 00:59,0,0,1,0,0,H
4,08/09/2021 01:59,2,1,1,2,1,H
4,08/09/2021 02:59,0,0,0,2,1,H
4,08/09/2021 03:59,0,0,0,5,1,H
4,08/09/2021 04:59,0,0,1,0,0,H
4,08/09/2021 05:59,0,0,1,0,0,H
4,08/09/2021 06:59,0,0,0,2,1,H
4,08/09/2021 07:59,0,0,1,0,0,H
4,08/09/2021 08:59,0,0,1,0,0,H
4,08/09/2021 09:59,0,0,1,0,0,H
4,08/09/2021 10:59,1,1,1,1,1,H
4,08/09/2021 11:59,0,0,1,0,0,H
4,08/09/2021 12:59,0,0,1,0,0,H
4,08/09/2021 13:59,0,0,1,0,0,H
4,08/09/2021 14:59,0,0,1,0,0,H
4,08/09/2021 15:59,0,0,1,0,0,H
4,08/09/2021 16:59,0,0,1,0,0,H
4,08/09/2021 17:59,0,0,1,0,0,H
4,08/09/2021 18:59,0,0,1,0,0,H
4,08/09/2021 19:59,0,0,1,0,0,H
4,08/09/2021 20:59,0,0,1,0,0,H
4,08/09/2021 21:59,0,0,1,0,0,H
4,08/09/2021 22:59,0,0,1,0,0,H
4,08/09/2021 23:59,0,0,1,0,0,H
4,09/09/2021 00:59,0,0,1,0,0,H
4,09/09/2021 01:59,0,0,1,0,0,H
4,09/09/2021 02:59,0,0,1,0,0,H
4,09/09/2021 03:59,1,1,1,2,1,H
4,09/09/2021 04:59,0,0,1,0,0,H
4,09/09/2021 05:59,0,0,0,2,1,H
4,09/09/2021 06:59,0,0,1,0,0,H
4,09/09/2021 07:59,0,0,1,0,0,H
4,09/09/2021 08:59,0,0,1,0,0,H
4,09/09/2021 09:59,0,0,1,0,0,H
4,09/09/2021 10:59,0,0,1,0,0,H
4,09/09/2021 11:59,0,0,1,0,0,H
4,09/09/2021 12:59,0,0,1,0,0,H
4,09/09/2021 13:59,0,0,1,0,0,H
4,09/09/2021 14:59,0,0,1,0,0,H
4,09/09/2021 15:59,0,0,0,1,1,H
4,09/09/2021 16:59,0,0,1,0,0,H
4,09/09/2021 17:59,0,0,1,0,0,H
4,09/09/2021 18:59,0,0,1,0,0,H
4,09/09/2021 19:59,0,0,1,0,0,H
4,09/09/2021 20:59,0,0,1,0,0,H
4,09/09/2021 21:59,0,0,1,0,0,H
4,09/09/2021 22:59,0,0,1,0,0,H
4,09/09/2021 23:59,0,0,1,0,0,H
4,10/09/2021 00:59,0,0,1,0,0,H
4,10/09/2021 01:59,0,0,1,0,0,H
4,10/09/2021 02:59,0,0,1,0,0,H
4,10/09/2021 03:59,0,0,1,0,0,H
4,10/09/2021 04:59,0,0,1,0,0,H
4,10/09/2021 05:59,0,0,1,0,0,H
4,10/09/2021 06:59,0,0,1,0,0,H
4,10/09/2021 07:59,0,0,1,0,0,H
4,10/09/2021 08:59,0,0,1,0,0,H
4,10/09/2021 09:59,0,0,1,0,0,H
4,10/09/2021 10:59,0,0,1,0,0,H
4,10/09/2021 11:59,0,0,1,0,0,H
4,10/09/2021 12:59,0,0,1,0,0,H
4,10/09/2021 13:59,0,0,1,0,0,H
4,10/09/2021 14:59,0,0,1,0,0,H
4,10/09/2021 15:59,0,0,1,0,0,H
4,10/09/2021 16:59,0,0,1,0,0,H
4,10/09/2021 17:59,0,0,1,0,0,H
4,10/09/2021 18:59,0,0,1,0,0,H
4,10/09/2021 19:59,0,0,1,0,0,H
4,10/09/2021 20:59,0,0,1,0,0,H
4,10/09/2021 21:59,0,0,1,0,0,H
4,10/09/2021 22:59,0,0,1,0,0,H
4,10/09/2021 23:59,0,0,1,0,0,H
4,11/09/2021 00:59,0,0,0,1,1,H
4,11/09/2021 01:59,0,0,1,0,0,H
4,11/09/2021 02:59,0,0,1,0,0,H
4,11/09/2021 03:59,0,0,1,0,0,H
4,11/09/2021 04:59,0,0,1,0,0,H
4,11/09/2021 05:59,0,0,1,0,0,H
4,11/09/2021 06:59,0,0,1,0,0,H
4,11/09/2021 07:59,0,0,1,0,0,H
4,11/09/2021 08:59,0,0,1,0,0,H
4,11/09/2021 09:59,0,0,1,0,0,H
4,11/09/2021 10:59,1,1,1,1,1,H
4,11/09/2021 11:59,0,0,1,0,0,H
4,11/09/2021 12:59,0,0,1,0,0,H
4,11/09/2021 13:59,0,0,1,0,0,H
4,11/09/2021 14:59,0,0,1,0,0,H
4,11/09/2021 15:59,0,0,1,0,0,H
4,11/09/2021 16:59,0,0,1,0,0,H
4,11/09/2021 17:59,0,0,1,0,0,H
4,11/09/2021 18:59,0,0,1,0,0,H
4,11/09/2021 19:59,0,0,1,0,0,H
4,11/09/2021 20:59,0,0,1,0,0,H
4,11/09/2021 21:59,0,0,1,0,0,H
4,11/09/2021 22:59,0,0,1,0,0,H
4,11/09/2021 23:59,0,0,1,0,0,H
4,12/09/2021 00:59,0,0,0,1,1,H
4,12/09/2021 01:59,0,0,1,0,0,H
4,12/09/2021 02:59,0,0,1,0,0,H
4,12/09/2021 03:59,0,0,1,0,0,H
4,12/09/2021 04:59,0,0,1,0,0,H
4,12/09/2021 05:59,0,0,1,0,0,H
4,12/09/2021 06:59,0,0,1,0,0,H
4,12/09/2021 07:59,0,0,1,0,0,H
4,12/09/2021 08:59,0,0,1,0,0,H
4,12/09/2021 09:59,0,0,0,1,1,H
4,12/09/2021 10:59,0,0,1,0,0,H
4,12/09/2021 11:59,0,0,1,0,0,H
4,12/09/2021 12:59,0,0,1,0,0,H
4,12/09/2021 13:59,0,0,1,0,0,H
4,12/09/2021 14:59,0,0,1,0,0,H
4,12/09/2021 15:59,0,0,1,0,0,H
4,12/09/2021 16:59,0,0,1,0,0,H
4,12/09/2021 17:59,0,0,1,0,0,H
4,12/09/2021 18:59,0,0,1,0,0,H
4,12/09/2021 19:59,0,0,0,1,1,H
4,12/09/2021 20:59,0,0,1,0,0,H
4,12/09/2021 21:59,1,1,1,2,1,H
4,12/09/2021 22:59,0,0,1,0,0,H
4,12/09/2021 23:59,0,0,1,0,0,H
4,13/09/2021 00:59,0,0,1,0,0,H
4,13/09/2021 01:59,0,0,0,2,1,H
4,13/09/2021 02:59,0,0,1,0,0,H
4,13/09/2021 03:59,0,0,1,0,0,H
4,13/09/2021 04:59,0,0,0,1,1,H
4,13/09/2021 05:59,0,0,1,0,0,H
4,13/09/2021 06:59,0,0,1,0,0,H
4,13/09/2021 07:59,0,0,1,0,0,H
4,13/09/2021 08:59,0,0,1,0,0,H
4,13/09/2021 09:59,0,0,1,0,0,H
4,13/09/2021 10:59,0,0,1,0,0,H
4,13/09/2021 11:59,0,0,1,0,0,H
4,13/09/2021 12:59,0,0,1,0,0,H
4,13/09/2021 13:59,0,0,1,0,0,H
4,13/09/2021 14:59,0,0,1,0,0,H
4,13/09/2021 15:59,0,0,1,0,0,H
4,13/09/2021 16:59,0,0,1,0,0,H
4,13/09/2021 17:59,1,1,1,2,1,H
4,13/09/2021 18:59,0,0,1,0,0,H
4,13/09/2021 19:59,0,0,1,0,0,H
4,13/09/2021 20:59,0,0,1,0,0,H
4,13/09/2021 21:59,0,0,1,0,0,H
4,13/09/2021 22:59,0,0,1,0,0,H
4,13/09/2021 23:59,0,0,1,0,0,H
4,14/09/2021 00:59,0,0,1,0,0,H
4,14/09/2021 01:59,0,0,1,0,0,H
4,14/09/2021 02:59,0,0,1,0,0,H
4,14/09/2021 03:59,1,1,1,1,1,H
4,14/09/2021 04:59,0,0,0,1,1,H
4,14/09/2021 05:59,0,0,1,0,0,H
4,14/09/2021 06:59,0,0,0,3,1,H
4,14/09/2021 07:59,0,0,1,0,0,H
4,14/09/2021 08:59,0,0,1,0,0,H
4,14/09/2021 09:59,0,0,1,0,0,H
4,14/09/2021 10:59,0,0,1,0,0,H
4,14/09/2021 11:59,0,0,1,0,0,H
4,14/09/2021 12:59,0,0,1,0,0,H
4,14/09/2021 13:59,0,0,0,1,1,H
4,14/09/2021 14:59,0,0,1,0,0,H
4,14/09/2021 15:59,0,0,1,0,0,H
4,14/09/2021 16:59,1,1,1,1,1,H
4,14/09/2021 17:59,0,0,1,0,0,H
4,14/09/2021 18:59,0,0,1,0,0,H
4,14/09/2021 19:59,0,0,1,0,0,H
4,14/09/2021 20:59,0,0,0,1,1,H
4,14/09/2021 21:59,0,0,0,2,1,H
4,14/09/2021 22:59,0,0,1,0,0,H
4,14/09/2021 23:59,0,0,1,0,0,H
4,15/09/2021 00:59,0,0,1,0,0,H
4,15/09/2021 01:59,0,0,1,0,0,H
4,15/09/2021 02:59,0,0,1,0,0,H
4,15/09/2021 03:59,0,0,1,0,0,H
4,15/09/2021 04:59,0,0,0,1,1,H
4,15/09/2021 05:59,0,0,1,0,0,H
4,15/09/2021 06:59,0,0,1,0,0,H
4,15/09/2021 07:59,0,0,1,0,0,H
4,15/09/2021 08:59,0,0,1,0,0,H
4,15/09/2021 09:59,0,0,1,0,0,H
4,15/09/2021 10:59,0,0,1,0,0,H
4,15/09/2021 11:59,0,0,1,0,0,H
4,15/09/2021 12:59,0,0,1,0,0,H
4,15/09/2021 13:59,0,0,1,0,0,H
4,15/09/2021 14:59,0,0,1,0,0,H
4,15/09/2021 15:59,0,0,1,0,0,H
4,15/09/2021 16:59,0,0,1,0,0,H
4,15/09/2021 17:59,0,0,1,0,0,H
4,15/09/2021 18:59,0,0,1,0,0,H
4,15/09/2021 19:59,0,0,1,0,0,H
4,15/09/2021 20:59,0,0,1,0,0,H
4,15/09/2021 21:59,0,0,1,0,0,H
4,15/09/2021 22:59,0,0,1,0,0,H
4,15/09/2021 23:59,0,0,1,0,0,H
4,16/09/2021 00:59,0,0,1,0,0,H
4,16/09/2021 01:59,0,0,1,0,0,H
4,16/09/2021 02:59,0,0,1,0,0,H
4,16/09/2021 03:59,0,0,1,0,0,H
4,16/09/2021 04:59,4,1,1,3,1,H
4,16/09/2021 05:59,0,0,0,6,1,H
4,16/09/2021 06:59,0,0,1,0,0,H
4,16/09/2021 07:59,0,0,1,0,0,H
4,16/09/2021 08:59,0,0,1,0,0,H
4,16/09/2021 09:59,0,0,1,0,0,H
4,16/09/2021 10:59,0,0,1,0,0,H
4,16/09/2021 11:59,0,0,1,0,0,H
4,16/09/2021 12:59,0,0,1,0,0,H
4,16/09/2021 13:59,0,0,1,0,0,H
4,16/09/2021 14:59,0,0,1,0,0,H
4,16/09/2021 15:59,0,0,1,0,0,H
4,16/09/2021 16:59,0,0,1,0,0,H
4,16/09/2021 17:59,0,0,1,0,0,H
4,16/09/2021 18:59,0,0,1,0,0,H
4,16/09/2021 19:59,0,0,1,0,0,H
4,16/09/2021 20:59,0,0,1,0,0,H
4,16/09/2021 21:59,0,0,1,0,0,H
4,16/09/2021 22:59,0,0,1,0,0,H
4,16/09/2021 23:59,0,0,1,0,0,H
4,17/09/2021 00:59,0,0,1,0,0,H
4,17/09/2021 01:59,0,0,1,0,0,H
4,17/09/2021 02:59,0,0,1,0,0,H
4,17/09/2021 03:59,0,0,1,0,0,H
4,17/09/2021 04:59,0,0,1,0,0,H
4,17/09/2021 05:59,0,0,1,0,0,H
4,17/09/2021 06:59,0,0,1,0,0,H
4,17/09/2021 07:59,0,0,1,0,0,H
4,17/09/2021 08:59,0,0,1,0,0,H
4,17/09/2021 09:59,0,0,1,0,0,H
4,17/09/2021 10:59,0,0,1,0,0,H
4,17/09/2021 11:59,0,0,1,0,0,H
4,17/09/2021 12:59,0,0,1,0,0,H
4,17/09/2021 13:59,0,0,1,0,0,H
4,17/09/2021 14:59,0,0,1,0,0,H
4,17/09/2021 15:59,0,0,1,0,0,H
4,17/09/2021 16:59,0,0,1,0,0,H
4,17/09/2021 17:59,0,0,1,0,0,H
4,17/09/2021 18:59,0,0,1,0,0,H
4,17/09/2021 19:59,0,0,1,0,0,H
4,17/09/2021 20:59,0,0,1,0,0,H
4,17/09/2021 21:59,0,0,1,0,0,H
4,17/09/2021 22:59,0,0,1,0,0,H
4,17/09/2021 23:59,0,0,1,0,0,H
4,18/09/2021 00:59,0,0,0,13,1,H
4,18/09/2021 01:59,1,1,1,24,1,H
4,18/09/2021 02:59,2,1,1,15,1,H
4,18/09/2021 03:59,1,1,0,0,0,H
4,18/09/2021 04:59,0,0,1,0,0,H
4,18/09/2021 05:59,0,0,1,0,0,H
4,18/09/2021 06:59,0,0,1,0,0,H
4,18/09/2021 07:59,0,0,1,0,0,H
4,18/09/2021 08:59,1,1,1,1,1,H
4,18/09/2021 09:59,0,0,1,0,0,H
4,18/09/2021 10:59,0,0,1,0,0,H
4,18/09/2021 11:59,0,0,1,0,0,H
4,18/09/2021 12:59,0,0,1,0,0,H
4,18/09/2021 13:59,0,0,1,0,0,H
4,18/09/2021 14:59,0,0,1,0,0,H
4,18/09/2021 15:59,0,0,1,0,0,H
4,18/09/2021 16:59,0,0,1,0,0,H
4,18/09/2021 17:59,0,0,1,0,0,H
4,18/09/2021 18:59,0,0,1,0,0,H
4,18/09/2021 19:59,1,1,1,1,1,H
4,18/09/2021 20:59,2,1,1,4,1,H
4,18/09/2021 21:59,0,0,1,0,0,H
4,18/09/2021 22:59,0,0,1,0,0,H
4,18/09/2021 23:59,0,0,1,0,0,H
4,19/09/2021 00:59,0,0,1,0,0,H
4,19/09/2021 01:59,1,1,1,2,1,H
4,19/09/2021 02:59,0,0,0,2,1,H
4,19/09/2021 03:59,0,0,0,5,1,H
4,19/09/2021 04:59,0,0,1,0,0,H
4,19/09/2021 05:59,0,0,1,0,0,H
4,19/09/2021 06:59,0,0,1,0,0,H
4,19/09/2021 07:59,0,0,0,1,1,H
4,19/09/2021 08:59,1,1,1,3,1,H
4,19/09/2021 09:59,1,1,1,4,1,H
4,19/09/2021 10:59,0,0,0,6,1,H
4,19/09/2021 11:59,0,0,0,3,1,H
4,19/09/2021 12:59,0,0,1,0,0,H
4,19/09/2021 13:59,0,0,1,0,0,H
4,19/09/2021 14:59,0,0,1,0,0,H
4,19/09/2021 15:59,0,0,1,0,0,H
4,19/09/2021 16:59,0,0,1,0,0,H
4,19/09/2021 17:59,0,0,1,0,0,H
4,19/09/2021 18:59,0,0,0,1,1,H
4,19/09/2021 19:59,0,0,0,3,1,H
4,19/09/2021 20:59,0,0,1,0,0,H
4,19/09/2021 21:59,0,0,1,0,0,H
4,19/09/2021 22:59,0,0,1,0,0,H
4,19/09/2021 23:59,0,0,1,0,0,H
4,20/09/2021 00:59,0,0,1,0,0,H
4,20/09/2021 01:59,0,0,0,3,1,H
4,20/09/2021 02:59,0,0,1,0,0,H
4,20/09/2021 03:59,0,0,1,0,0,H
4,20/09/2021 04:59,0,0,1,0,0,H
4,20/09/2021 05:59,0,0,1,0,0,H
4,20/09/2021 06:59,0,0,1,0,0,H
4,20/09/2021 07:59,0,0,1,0,0,H
4,20/09/2021 08:59,0,0,0,1,1,H
4,20/09/2021 09:59,1,1,1,14,1,H
4,20/09/2021 10:59,0,0,0,8,1,H
4,20/09/2021 11:59,1,1,1,9,1,H
4,20/09/2021 12:59,0,0,0,6,1,H
4,20/09/2021 13:59,0,0,0,2,1,H
4,20/09/2021 14:59,0,0,0,2,1,H
4,20/09/2021 15:59,0,0,0,1,1,H
4,20/09/2021 16:59,0,0,0,1,1,H
4,20/09/2021 17:59,0,0,1,0,0,H
4,20/09/2021 18:59,0,0,1,0,0,H
4,20/09/2021 19:59,0,0,1,0,0,H
4,20/09/2021 20:59,0,0,0,1,1,H
4,20/09/2021 21:59,0,0,0,9,1,H
4,20/09/2021 22:59,0,0,1,0,0,H
4,20/09/2021 23:59,0,0,1,0,0,H
4,21/09/2021 00:59,0,0,1,0,0,H
4,21/09/2021 01:59,0,0,0,1,1,H
4,21/09/2021 02:59,0,0,0,12,1,H
4,21/09/2021 03:59,0,0,0,6,1,H
4,21/09/2021 04:59,2,1,1,25,1,H
4,21/09/2021 05:59,1,1,1,14,1,H
4,21/09/2021 06:59,0,0,0,4,1,H
4,21/09/2021 07:59,1,1,0,0,0,H
4,21/09/2021 08:59,0,0,1,0,0,H
4,21/09/2021 09:59,0,0,0,2,1,H
4,21/09/2021 10:59,1,1,1,7,1,H
4,21/09/2021 11:59,0,0,1,0,0,H
4,21/09/2021 12:59,0,0,1,0,0,H
4,21/09/2021 13:59,0,0,1,0,0,H
4,21/09/2021 14:59,0,0,0,1,1,H
4,21/09/2021 15:59,0,0,1,0,0,H
4,21/09/2021 16:59,0,0,1,0,0,H
4,21/09/2021 17:59,1,1,1,1,1,H
4,21/09/2021 18:59,0,0,1,0,0,H
4,21/09/2021 19:59,0,0,1,0,0,H
4,21/09/2021 20:59,0,0,1,0,0,H
4,21/09/2021 21:59,1,1,1,5,1,H
4,21/09/2021 22:59,1,1,1,9,1,H
4,21/09/2021 23:59,0,0,1,0,0,H
4,22/09/2021 00:59,0,0,1,0,0,H
4,22/09/2021 01:59,0,0,1,0,0,H
4,22/09/2021 02:59,0,0,1,0,0,H
4,22/09/2021 03:59,0,0,1,0,0,H
4,22/09/2021 04:59,0,0,1,0,0,H
4,22/09/2021 05:59,0,0,1,0,0,H
